date,hourOfDay,hourOfYear,demand,coalGen,solarGen,windGen,storageUsage,gasGen,gasUsage,solarUsage,storageSolarCharge,storageGasCharge,storageDischarge,curtailedEnergy,storageStateEnd,netDemand,missingEnergy
1/1/2050,0,1,15931.46606,0,0,1479.716308,2075.530966,12376.21878,12376.21878,0,0,0,2075.530966,0,179370.5502,14451.74975,0
1/1/2050,1,2,14360.62722,0,0,1798.424436,185.984003,12376.21878,12376.21878,0,0,0,185.984003,0,179179.7346,12562.20279,0
1/1/2050,2,3,13345.15892,0,0,1878.101468,-957.0119256,12424.06938,11467.05746,0,0,957.0119256,0,0,180112.5144,11467.05746,0
1/1/2050,3,4,12857.17644,0,0,1582.158206,-1159.15847,12434.17671,11275.01824,0,0,1159.15847,0,0,181242.3224,11275.01824,0
1/1/2050,4,5,12813.02565,0,0,1422.804142,-1037.891872,12428.11338,11390.22151,0,0,1037.891872,0,0,182253.9342,11390.22151,0
1/1/2050,5,6,13454.37405,0,0,2128.514997,-1105.641823,12431.50088,11325.85905,0,0,1105.641823,0,0,183331.5806,11325.85905,0
1/1/2050,6,7,14685.94888,0,0,2026.073098,283.6569926,12376.21878,12376.21878,0,0,0,283.6569926,0,183040.5546,12659.87578,0
1/1/2050,7,8,16596.05172,0,0,1069.948715,3149.88422,12376.21878,12376.21878,0,0,0,3149.88422,0,179808.8416,15526.103,0
1/1/2050,8,9,17776.50457,0,12820.85196,1024.418982,-8889.458053,12820.69169,3931.233634,3931.393903,8889.458053,8889.458053,0,0,188473.2136,3931.233634,0
1/1/2050,9,10,18982.51841,0,21300.78553,762.6230202,-16108.48886,13027.59872,0,5192.296671,16108.48886,13027.59872,0,0,204173.8264,0,0
1/1/2050,10,11,20123.46792,0,25742.6555,1331.744677,-19978.53098,13027.59872,0,5764.124523,19978.53098,13027.59872,0,0,223646.4897,0,0
1/1/2050,11,12,20750.87396,0,29074.05798,887.8297847,-22238.61252,13027.59872,0,6835.44546,22238.61252,13027.59872,0,0,245322.0079,0,0
1/1/2050,12,13,21348.07157,0,24834.09119,204.8837965,-16296.15199,12605.24857,0,8537.939199,16296.15199,12605.24857,0,0,261205.5321,0,0
1/1/2050,13,14,21647.83223,,15445.5933,216.2662296,0,5985.972704,5985.972704,15445.5933,0,0,0,0,261205.5321,5985.972704,0
1/1/2050,14,15,21833.73032,0,15849.39966,204.8837965,0,5779.446863,5779.446863,15849.39966,0,0,0,0,261205.5321,5779.446863,0
1/1/2050,15,16,21715.22029,0,17464.62511,273.1783953,0,3977.416791,3977.416791,17464.62511,0,0,0,0,261205.5321,3977.416791,0
1/1/2050,16,17,21457.2867,0,3836.160428,295.9432616,4948.964222,12376.21878,12376.21878,3836.160428,0,0,4948.964222,0,256128.002,17325.18301,0
1/1/2050,17,18,23306.97266,0,0,239.0310959,10691.72278,12376.21878,12376.21878,0,0,0,10691.72278,0,245158.5259,23067.94157,0
1/1/2050,18,19,24652.41007,0,0,295.9432616,11980.24802,12376.21878,12376.21878,0,0,0,11980.24802,0,232867.0507,24356.4668,0
1/1/2050,19,20,24849.92678,0,0,250.413529,12223.29447,12376.21878,12376.21878,0,0,0,12223.29447,0,220326.2152,24599.51325,0
1/1/2050,20,21,24380.53411,0,0,182.1189302,11822.1964,12376.21878,12376.21878,0,0,0,11822.1964,0,208196.8976,24198.41518,0
1/1/2050,21,22,23218.67107,0,0,159.3540639,10683.09822,12376.21878,12376.21878,0,0,0,10683.09822,0,197236.2701,23059.31701,0
1/1/2050,22,23,21392.22236,0,0,182.1189302,8833.88465,12376.21878,12376.21878,0,0,0,8833.88465,0,188172.8957,21210.10343,0
